flight_number,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,LaunchSiteName,Outcome,Flights,GridFins,Reused,Legs,class
19,2015-01-10 09:47:00+00:00,CRS-5,2395.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,True,False,True,0
20,2015-02-11 23:03:00+00:00,DSCOVR,570.0,ES-L1,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
21,2015-03-02 03:50:00+00:00,ABS-3A / Eutelsat 115W B,1954.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,False,False,False,0
22,2015-04-14 20:10:00+00:00,CRS-6,1898.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,True,False,True,0
23,2015-04-27 23:03:00+00:00,TürkmenÄlem 52°E / MonacoSAT,4707.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,False,False,False,0
24,2015-06-28 14:21:00+00:00,CRS-7,2477.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,True,False,True,0
25,2015-12-22 01:29:00+00:00,OG-2 Mission 2,2034.0,LEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
26,2016-01-17 15:42:00+00:00,Jason 3,553.0,PO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),False,1.0,True,False,True,0
27,2016-03-04 23:35:00+00:00,SES-9,5271.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,True,False,True,0
28,2016-04-08 20:43:00+00:00,CRS-8,3136.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
29,2016-05-06 05:21:00+00:00,JCSAT-2B,4696.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
30,2016-05-27 21:39:00+00:00,Thaicom 8,3100.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
31,2016-06-15 14:29:00+00:00,ABS-2A / Eutelsat 117W B,1800.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,True,False,True,0
32,2016-07-18 04:45:00+00:00,CRS-9,2257.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
33,2016-08-14 05:26:00+00:00,JCSAT-16,4600.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
34,2016-09-01 13:07:00+00:00,Amos-6,5500.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,True,False,True,0
35,2017-01-14 17:54:00+00:00,Iridium NEXT Mission 1,9600.0,PO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,1.0,True,False,True,1
36,2017-02-19 14:39:00+00:00,CRS-10,2490.0,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,1.0,True,False,True,1
37,2017-03-16 06:00:00+00:00,EchoStar 23,5600.0,GTO,5e9e4502f509094188566f88,KSC LC 39A (Florida),False,1.0,False,False,False,0
38,2017-03-30 22:27:00+00:00,SES-10,5300.0,GTO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,2.0,True,True,True,1
39,2017-05-01 11:15:00+00:00,NROL-76,7842.388855421687,LEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,1.0,True,False,True,1
40,2017-05-15 23:21:00+00:00,Inmarsat-5 F4,6070.0,GTO,5e9e4502f509094188566f88,KSC LC 39A (Florida),False,1.0,False,False,False,0
41,2017-06-03 21:07:00+00:00,CRS-11,2708.0,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,1.0,True,False,True,1
42,2017-06-23 19:10:00+00:00,BulgariaSat-1,3669.0,GTO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,2.0,True,True,True,1
43,2017-06-25 20:25:00+00:00,Iridium NEXT Mission 2,9600.0,PO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,1.0,True,False,True,1
44,2017-07-05 23:35:00+00:00,Intelsat 35e,6761.0,GTO,5e9e4502f509094188566f88,KSC LC 39A (Florida),False,1.0,False,False,False,0
45,2017-08-14 16:31:00+00:00,CRS-12,2910.0,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,1.0,True,False,True,1
46,2017-08-24 18:50:00+00:00,FormoSat-5,475.0,SSO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,1.0,True,False,True,1
47,2017-09-07 13:50:00+00:00,Boeing X-37B OTV-5,4990.0,LEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,1.0,True,False,True,1
48,2017-10-09 12:37:00+00:00,Iridium NEXT Mission 3,9600.0,PO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,1.0,True,False,True,1
49,2017-10-11 22:53:00+00:00,SES-11 / Echostar 105,5200.0,GTO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,2.0,True,True,True,1
50,2017-10-30 19:34:00+00:00,KoreaSat 5A,3700.0,GTO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,1.0,True,False,True,1
51,2017-12-15 15:36:00+00:00,CRS-13,2205.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,2.0,True,True,True,1
52,2017-12-23 01:27:23+00:00,Iridium NEXT Mission 4,9600.0,PO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,2.0,True,True,False,1
53,2018-01-08 01:00:00+00:00,ZUMA,7842.388855421687,LEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
54,2018-01-31 21:25:00+00:00,SES-16 / GovSat-1,4230.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,2.0,True,True,True,1
55,2018-02-06 20:45:00+00:00,Falcon Heavy Test Flight,1350.0,HCO,5e9e4502f509094188566f88,KSC LC 39A (Florida),False,1.0,True,False,True,0
56,2018-02-22 14:17:00+00:00,Paz / Starlink Demo,1350.0,SSO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),False,2.0,True,True,False,0
57,2018-03-06 05:33:00+00:00,Hispasat 30W-6,6092.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,True,False,True,0
58,2018-03-30 14:13:51+00:00,Iridium NEXT Mission 5,9600.0,PO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),False,2.0,True,True,True,0
59,2018-04-02 20:30:41+00:00,CRS-14,2760.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,2.0,True,True,True,0
60,2018-04-18 22:51:00+00:00,TESS,350.0,HEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
61,2018-05-11 20:14:00+00:00,Bangabandhu-1,3750.0,GTO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,1.0,True,False,True,1
62,2018-05-22 19:47:58+00:00,Iridium NEXT Mission 6,4300.0,PO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),False,2.0,True,True,False,0
63,2018-06-04 04:45:00+00:00,SES-12,5383.85,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,2.0,False,True,False,0
64,2018-06-29 09:42:00+00:00,CRS-15,2410.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,2.0,False,True,False,0
65,2018-07-22 05:50:00+00:00,Telstar 19V,7076.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
66,2018-07-25 11:39:26+00:00,Iridium NEXT Mission 7,9600.0,PO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,1.0,True,False,True,1
67,2018-08-07 05:18:00+00:00,Merah Putih,5800.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,2.0,True,True,True,1
68,2018-09-10 04:45:00+00:00,Telstar 18V,7060.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
69,2018-10-08 02:22:00+00:00,SAOCOM 1A,2800.0,SSO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,2.0,True,True,True,1
70,2018-11-15 20:46:00+00:00,Es’hail 2,3000.0,GTO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,2.0,True,True,True,1
71,2018-12-03 18:34:00+00:00,SSO-A,4000.0,SSO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,3.0,True,True,True,1
72,2018-12-05 18:16:00+00:00,CRS-16,2573.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,True,False,True,0
73,2018-12-23 13:51:00+00:00,GPS III SV01,4400.0,MEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,False,False,False,0
74,2019-01-11 15:31:00+00:00,Iridium NEXT Mission 8,9600.0,PO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,2.0,True,True,True,1
75,2019-02-22 01:45:00+00:00,Nusantara Satu (PSN-6) / S5 / Beresheet,5000.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,3.0,True,True,True,1
76,2019-03-02 07:45:00+00:00,CCtCap Demo Mission 1,12259.0,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,1.0,True,False,True,1
77,2019-04-11 22:35:00+00:00,ArabSat 6A,6000.0,GTO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,1.0,True,False,True,1
78,2019-05-04 06:48:00+00:00,CRS-17,2482.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
79,2019-05-24 02:30:00+00:00,Starlink v0.9,13200.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,3.0,True,True,True,1
80,2019-06-12 14:17:00+00:00,RADARSAT Constellation,1425.0,SSO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,2.0,True,True,True,1
81,2019-06-25 03:30:00+00:00,STP-2,600.0,MEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),False,1.0,True,False,True,0
82,2019-07-25 22:01:00+00:00,CRS-18,2227.7,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,2.0,True,True,True,1
83,2019-08-06 22:52:00+00:00,Amos-17,6500.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,3.0,False,True,False,0
84,2019-11-11 14:56:00+00:00,Starlink-1,15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,4.0,True,True,True,1
85,2019-12-05 17:29:23+00:00,CRS-19,5000.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
86,2019-12-17 00:10:00+00:00,JCSat 18 / Kacific 1,6800.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,3.0,True,True,True,1
87,2020-01-07 02:19:00+00:00,Starlink-2,15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,4.0,True,True,True,1
88,2020-01-19 14:00:00+00:00,Crew Dragon In Flight Abort Test,7842.388855421687,SO,5e9e4502f509094188566f88,KSC LC 39A (Florida),False,4.0,False,True,False,0
89,2020-01-29 14:06:00+00:00,Starlink-3,15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,3.0,True,True,True,1
90,2020-02-17 15:05:55+00:00,Starlink-4,15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,4.0,True,True,True,0
91,2020-03-07 04:50:31+00:00,CRS-20,1977.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,2.0,True,True,True,1
92,2020-03-18 12:16:00+00:00,Starlink-5,15600.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),False,5.0,True,True,True,0
93,2020-04-22 19:30:00+00:00,Starlink-6,15600.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,4.0,True,True,True,1
94,2020-05-30 19:22:00+00:00,CCtCap Demo Mission 2,9525.0,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,1.0,True,False,True,1
95,2020-06-04 01:25:00+00:00,Starlink-7,15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,5.0,True,True,True,1
96,2020-06-13 09:21:00+00:00,Starlink-8 & SkySat 16-18,15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,3.0,True,True,True,1
97,2020-06-30 19:55:00+00:00,GPS III SV03 (Columbus),3880.0,MEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
98,2020-07-20 21:30:00+00:00,ANASIS-II,7842.388855421687,GEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,2.0,True,True,True,1
99,2020-08-07 05:12:00+00:00,Starlink-9 (v1.0) & BlackSky Global 5-6,15600.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,5.0,True,True,True,1
100,2020-08-18 14:31:00+00:00,Starlink-10 (v1.0) & SkySat 19-21,15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,6.0,True,True,True,1
101,2020-08-30 23:18:00+00:00,"SAOCOM 1B, GNOMES-1, Tyvak-0172",1600.0,SSO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,4.0,True,True,True,1
102,2020-09-03 12:46:00+00:00,Starlink-11 (v1.0),15600.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,2.0,True,True,True,1
103,2020-10-06 11:29:00+00:00,Starlink-12 (v1.0),15600.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,3.0,True,True,True,1
104,2020-10-18 12:25:00+00:00,Starlink-13 (v1.0),15600.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,6.0,True,True,True,1
105,2020-10-24 15:31:00+00:00,Starlink-14 (v1.0),15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,3.0,True,True,True,1
106,2020-11-05 23:24:00+00:00,GPS III SV04 (Sacagawea),3681.0,MEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
107,2020-11-16 00:27:00+00:00,Crew-1,7842.388855421687,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,1.0,True,False,True,1
108,2020-11-21 17:17:00+00:00,Sentinel-6 Michael Freilich,1440.0,PO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,1.0,True,False,True,1
109,2020-11-25 02:13:00+00:00,Starlink-15 (v1.0),15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,7.0,True,True,True,1
110,2020-12-06 16:17:00+00:00,CRS-21,2972.0,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,4.0,True,True,True,1
111,2020-12-13 17:30:00+00:00,SXM-7,7000.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,7.0,True,True,True,1
112,2020-12-19 14:00:00+00:00,NROL-108,7842.388855421687,Unknown,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,5.0,True,True,True,1
113,2021-01-08 02:15:00+00:00,Turksat 5A,3500.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,4.0,True,True,True,1
114,2021-01-20 13:02:00+00:00,Starlink-16 (v1.0),15600.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,8.0,True,True,True,1
115,2021-01-24 15:00:00+00:00,Transporter-1,7842.388855421687,SSO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,5.0,True,True,True,1
116,2021-02-04 06:19:00+00:00,Starlink-18 (v1.0),15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,5.0,True,True,True,1
117,2021-02-16 03:59:00+00:00,Starlink-19 (v1.0),15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,6.0,True,True,True,0
118,2021-03-04 08:24:00+00:00,Starlink-17 (v1.0),15600.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,8.0,True,True,True,1
119,2021-03-11 08:13:00+00:00,Starlink-20 (v1.0),15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,6.0,True,True,True,1
120,2021-03-14 10:01:00+00:00,Starlink-21 (v1.0),15600.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,9.0,True,True,True,1
121,2021-03-24 08:28:00+00:00,Starlink-22 (v1.0),15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,6.0,True,True,True,1
122,2021-04-07 16:34:00+00:00,Starlink-23 (v1.0),15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,7.0,True,True,True,1
123,2021-04-23 09:49:00+00:00,Crew-2,7842.388855421687,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,2.0,True,True,True,1
124,2021-04-29 03:44:00+00:00,Starlink-24 (v1.0),15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,7.0,True,True,True,1
125,2021-05-04 19:01:00+00:00,Starlink-25 (v1.0),15600.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,9.0,True,True,True,1
126,2021-05-09 06:42:00+00:00,Starlink-27 (v1.0),15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,10.0,True,True,True,1
127,2021-05-15 22:54:00+00:00,Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,13520.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,8.0,True,True,True,1
128,2021-05-26 18:59:00+00:00,Starlink-28 (v1.0),15600.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,2.0,True,True,True,1
129,2021-06-03 17:29:00+00:00,CRS-22 & IROSA,3328.0,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,1.0,True,False,True,1
130,2021-06-06 04:26:00+00:00,SXM-8,7000.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,3.0,True,True,True,1
131,2021-06-17 16:09:00+00:00,GPS III SV05,3681.0,MEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,2.0,True,True,True,1
132,2021-06-30 19:31:00+00:00,Transporter-2,7842.388855421687,SSO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,8.0,True,True,True,1
133,2021-08-29 07:14:00+00:00,CRS-23,7842.388855421687,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,4.0,True,True,True,1
134,2021-09-14 03:55:00+00:00,Starlink 2-1 (v1.5),15600.0,PO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,10.0,True,True,True,1
135,2021-09-16 00:02:00+00:00,Inspiration4,7842.388855421687,LEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,3.0,True,True,True,1
136,2021-11-11 02:03:00+00:00,Crew-3,12519.0,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,2.0,True,True,True,1
137,2021-11-13 12:40:00+00:00,Starlink 4-1 (v1.5),13260.0,LEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,9.0,True,True,True,1
138,2021-11-24 06:20:00+00:00,DART,670.0,TLI,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,2.0,True,True,True,1
139,2021-12-01 23:20:00+00:00,Starlink 4-3 (v1.5),13260.0,PO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,9.0,True,True,True,1
140,2021-12-09 06:00:00+00:00,IXPE,330.0,LEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,5.0,True,True,True,1
141,2021-12-18 12:41:40+00:00,Starlink 4-4 (v1.5),13260.0,PO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,11.0,True,True,True,1
142,2021-12-19 03:58:00+00:00,Türksat 5B,3500.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,3.0,True,True,True,1
143,2021-12-21 10:06:00+00:00,CRS-24,7842.388855421687,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,1.0,True,False,True,1
144,2022-01-06 21:49:00+00:00,Starlink 4-5 (v1.5),13260.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,4.0,True,True,True,1
145,2022-01-13 15:25:00+00:00,Transporter-3,7842.388855421687,LEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,10.0,True,True,True,1
146,2022-01-19 00:04:00+00:00,Starlink 4-6 (v1.5),13260.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,10.0,True,True,True,1
147,2022-01-31 23:11:12+00:00,CSG-2,2240.0,SSO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,3.0,True,True,True,1
148,2022-02-02 20:18:00+00:00,NROL-87,7842.388855421687,LEO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,1.0,True,False,True,1
149,2022-02-03 18:13:00+00:00,Starlink 4-7 (v1.5),13260.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,6.0,True,True,True,1
150,2022-02-21 14:44:00+00:00,Starlink 4-8 (v1.5),13260.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,11.0,True,True,True,1
151,2022-02-25 17:12:00+00:00,Starlink 4-11 (v1.5),13260.0,VLEO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,4.0,True,True,True,1
152,2022-03-03 14:35:00+00:00,Starlink 4-9 (v1.5),13260.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,11.0,True,True,True,1
153,2022-03-09 13:45:00+00:00,Starlink 4-10 (v1.5),13260.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,4.0,True,True,True,1
154,2022-03-19 03:24:00+00:00,Starlink 4-12 (v1.5),13260.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,12.0,True,True,True,1
155,2022-04-01 16:24:00+00:00,Transporter-4,7842.388855421687,SSO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,7.0,True,True,True,1
156,2022-04-08 15:17:00+00:00,Ax-1,7842.388855421687,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,5.0,True,True,True,1
157,2022-04-17 13:13:00+00:00,NROL-85,7842.388855421687,LEO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,2.0,True,True,True,1
158,2022-04-21 15:16:00+00:00,Starlink 4-14 (v1.5),13260.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,12.0,True,True,True,1
159,2022-04-27 07:52:00+00:00,Crew-4,7842.388855421687,ISS,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,4.0,True,True,True,1
160,2022-04-29 21:27:00+00:00,Starlink 4-16 (v1.5),13260.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,6.0,True,True,True,1
161,2022-05-06 09:42:00+00:00,Starlink 4-17 (v1.5),13260.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,12.0,True,True,True,1
162,2022-05-13 22:07:00+00:00,Starlink 4-13 (v1.5),13260.0,VLEO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),True,5.0,True,True,True,1
163,2022-05-14 20:40:00+00:00,Starlink 4-15 (v1.5),13260.0,VLEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,True,False,True,1
164,2022-05-18 10:40:00+00:00,Starlink 4-18 (v1.5),13260.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,5.0,True,True,True,1
165,2022-05-25 18:27:00+00:00,Transporter-5,7842.388855421687,SSO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,8.0,True,True,True,1
166,2022-06-08 21:04:00+00:00,Nilesat-301,3938.0,GEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,7.0,True,True,True,1
167,2022-06-01 17:08:50+00:00,Starlink 4-19 (v1.5),13260.0,VLEO,5e9e4502f509094188566f88,KSC LC 39A (Florida),True,13.0,True,True,True,1
